species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent	collection_location	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS pg (2C) replicate	GS pg (2C)	GS pg (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	STDV(GS)	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample	V30	V31	V32	V33	V34
Agrostemma githago	dcAgrGith1.1 alternate haplotype	Contig	25466553	25466553	dcAgrGith1	2	31	92.1612	95.8834	4.11664	7.83876	936328242	940819231	633080770	636117268	303247471	304701962	62.196	86.0926	0.129771	0.129771	RBGK	""	DTOL	Angiosperm	Caryophyllaceae	Agrostemma	githago	<Pisum	OXPRO	192.60	388.98	3.49	2.29	2.02	201.53	398.37	4.5	4.6	2.3	2.25	2.87	2.36	0.037	0.084	Sahr Mian	2020-06-02	KDTOL10241	4.20	""	""	""	""	""	""
Agrostemma githago	dcAgrGith1.1	Chromosome	1735037658	1734959258	dcAgrGith1	2	31	92.1612	95.8834	4.11664	7.83876	936328242	940819231	633080770	636117268	303247471	304701962	62.196	86.0926	0.129771	0.129771	RBGK	""	DTOL	Angiosperm	Caryophyllaceae	Agrostemma	githago	<Pisum	OXPRO	192.60	388.98	3.49	2.29	2.02	201.53	398.37	4.5	4.6	2.3	2.25	2.87	2.36	0.037	0.084	Sahr Mian	2020-06-02	KDTOL10241	4.20	""	""	""	""	""	""
Ailanthus altissima	drAilAlti1.1 alternate haplotype	Contig	937153372	937153372	drAilAlti1	2	31	98.6436	98.6573	1.34273	1.35639	1011814730	1013114466	322661409	323075886	689153321	690038579	89.0742	98.79	0.196765	0.196765	Offsite	MC9059	DTOL	Angiosperm	Simaroubaceae	Ailanthus	altissima	<Petro	GPB3%PVPBmet	276.66	520.70	2.96	2.42	1.881	314.13	589.73	2.39	2.4	1.2	1.17	2.79	2.76	0.023	0.031	Sahr Mian	2020-08-27	KDTOL10063	2.08 (2013)	Sanger - low DNA yield	""	""	""	""	""
Ailanthus altissima	drAilAlti1.1	Chromosome	938396475	938393475	drAilAlti1	2	31	98.6436	98.6573	1.34273	1.35639	1011814730	1013114466	322661409	323075886	689153321	690038579	89.0742	98.79	0.196765	0.196765	Offsite	MC9059	DTOL	Angiosperm	Simaroubaceae	Ailanthus	altissima	<Petro	GPB3%PVPBmet	276.66	520.70	2.96	2.42	1.881	314.13	589.73	2.39	2.4	1.2	1.17	2.79	2.76	0.023	0.031	Sahr Mian	2020-08-27	KDTOL10063	2.08 (2013)	Sanger - low DNA yield	""	""	""	""	""
Ajuga chamaepitys	daAjuCham1.1 alternate haplotype	Contig	39014124	39014124	daAjuCham1	2	31	99.9211	99.9497	0.0502629	0.078852	990455959	992260270	462327396	463169617	528128563	529090654	79.8015	97.3172	0.139035	0.139035	RBGK	MC9423	DTOL	Angiosperm	Lamiaceae	Ajuga	chamaepitys	<Petro	GPB3%PVP	219.92	433.24	3.48	2.68	1.97	223.18	437.84	2.28	2.29	1.15	1.12	3.47	2.8	0.183	0.011	Sahr Mian		""	2.04 (diff subsp.)	""	""	""	""	""	""
Ajuga chamaepitys	daAjuCham1.1	Chromosome	891563074	891515274	daAjuCham1	2	31	99.9211	99.9497	0.0502629	0.078852	990455959	992260270	462327396	463169617	528128563	529090654	79.8015	97.3172	0.139035	0.139035	RBGK	MC9423	DTOL	Angiosperm	Lamiaceae	Ajuga	chamaepitys	<Petro	GPB3%PVP	219.92	433.24	3.48	2.68	1.97	223.18	437.84	2.28	2.29	1.15	1.12	3.47	2.8	0.183	0.011	Sahr Mian		""	2.04 (diff subsp.)	""	""	""	""	""	""
Ajuga reptans	daAjuRept1.hap1.1	Chromosome	984048775	983953775	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803	RBGE	DMR186	DTOL	Angiosperm	Lamiaceae	Ajuga	reptans	<Petro	GPB3%PVP	172.98	308.58	3.78	2.51	1.784	181.21	318.76	2.52	2.56	1.28	1.25	3.65	2.6	0.027	0.04	Sahr Mian		""	-	""	""	""	""	""	""
Ajuga reptans	daAjuRept1.hap1.2	Chromosome	984048775	983953775	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803	RBGE	DMR186	DTOL	Angiosperm	Lamiaceae	Ajuga	reptans	<Petro	GPB3%PVP	172.98	308.58	3.78	2.51	1.784	181.21	318.76	2.52	2.56	1.28	1.25	3.65	2.6	0.027	0.04	Sahr Mian		""	-	""	""	""	""	""	""
Ajuga reptans	daAjuRept1.hap2.1	Scaffold	958490305	958403105	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803	RBGE	DMR186	DTOL	Angiosperm	Lamiaceae	Ajuga	reptans	<Petro	GPB3%PVP	172.98	308.58	3.78	2.51	1.784	181.21	318.76	2.52	2.56	1.28	1.25	3.65	2.6	0.027	0.04	Sahr Mian		""	-	""	""	""	""	""	""
Ajuga reptans	daAjuRept1.hap2.2	Scaffold	958490305	958403105	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803	RBGE	DMR186	DTOL	Angiosperm	Lamiaceae	Ajuga	reptans	<Petro	GPB3%PVP	172.98	308.58	3.78	2.51	1.784	181.21	318.76	2.52	2.56	1.28	1.25	3.65	2.6	0.027	0.04	Sahr Mian		""	-	""	""	""	""	""	""
Alisma plantago aquatica	laAliPlan1.1 alternate haplotype	Contig	168507919	168507919	laAliPlan1	2	31	99.7726	100	0	0.227409	9530994043	9586986206	4780964038	4809050984	4750030005	4777935222	74.9251	99.1522	0.0947719	0.0947719	RBGK	MC9202	DTOL	Angiosperm	Alismataceae	Alisma	plantago-aquatica	>Pisum	OXPRO	133.72	317.37	2.93	3.05	2.373	323.51	135.97	21.57	21.63	10.81	10.58	3.14	3.22	0.006	0.049	Robyn Powell	2020-06-23	KDTOL10264	18/33	""	""	""	""	""	""
Alisma plantago aquatica	laAliPlan1.1	Chromosome	9377969683	9377919883	laAliPlan1	2	31	99.7726	100	0	0.227409	9530994043	9586986206	4780964038	4809050984	4750030005	4777935222	74.9251	99.1522	0.0947719	0.0947719	RBGK	MC9202	DTOL	Angiosperm	Alismataceae	Alisma	plantago-aquatica	>Pisum	OXPRO	133.72	317.37	2.93	3.05	2.373	323.51	135.97	21.57	21.63	10.81	10.58	3.14	3.22	0.006	0.049	Robyn Powell	2020-06-23	KDTOL10264	18/33	""	""	""	""	""	""
Alnus cordata	dhAlnCord1.hap1.1	Chromosome	468521507	468442692	dhAlnCord1	2	31	99.2532	99.5278	0.472185	0.746751	489415918	493137248	161024932	162249304	328390985	330887944	83.8919	98.6067	0.140336	0.140336	RBGE	DMR318	DTOL	Angiosperm	Betulaceae	Alnus	cordata	<Petro	Galbraith	213.69	749.00	4.41	1.97	3.505	216.2	759.09	1.28	1.28	0.64	0.63	4.82	2.15	0.007	0.002	Nacho	2020-05-02	""	""	""	""	""	""	""	""
Alnus cordata	dhAlnCord1.hap2.1	Scaffold	468513655	468434855	dhAlnCord1	2	31	99.2532	99.5278	0.472185	0.746751	489415918	493137248	161024932	162249304	328390985	330887944	83.8919	98.6067	0.140336	0.140336	RBGE	DMR318	DTOL	Angiosperm	Betulaceae	Alnus	cordata	<Petro	Galbraith	213.69	749.00	4.41	1.97	3.505	216.2	759.09	1.28	1.28	0.64	0.63	4.82	2.15	0.007	0.002	Nacho	2020-05-02	""	""	""	""	""	""	""	""
Alnus glutinosa	dhAlnGlut1.1 alternate haplotype	Scaffold	450406790	450406773	dhAlnGlut1	2	31	98.798	98.8303	1.1697	1.20198	476280833	477838179	162485011	163016306	313795821	314821873	82.1701	97.8886	0.190517	0.190517	RBGE	ZAG1898	DTOL	Angiosperm	Betulaceae	Alnus	glutinosa	<Solanum	GPB3%PVPBmet	224.25	417.69	3.91	3.42	1.863	231.13	427.69	1.07	1.08	0.54	0.53	3.61	3.21	0.016	0.009	Sahr Mian	2020-09-02	""	previous sample 1.14 (1.34, 1.23 kew)	""	""	""	""	""	""
Alnus glutinosa	dhAlnGlut1.1	Chromosome	456761304	456738804	dhAlnGlut1	2	31	98.798	98.8303	1.1697	1.20198	476280833	477838179	162485011	163016306	313795821	314821873	82.1701	97.8886	0.190517	0.190517	RBGE	ZAG1898	DTOL	Angiosperm	Betulaceae	Alnus	glutinosa	<Solanum	GPB3%PVPBmet	224.25	417.69	3.91	3.42	1.863	231.13	427.69	1.07	1.08	0.54	0.53	3.61	3.21	0.016	0.009	Sahr Mian	2020-09-02	""	previous sample 1.14 (1.34, 1.23 kew)	""	""	""	""	""	""
Alnus incana	dhAlnInca1.hap1.1	Chromosome	514978156	514923756	dhAlnInca1	2	31	99.0141	99.0359	0.964055	0.98595	593715101	595503523	280570938	281416090	313144163	314087433	84.4605	96.8715	0.104341	0.104341	RBGE	DMR166	DTOL	Angiosperm	Betulaceae	Alnus	incana	<Solanum	GPB3%PVP	255.61	383.36	4.85	4.12	1.5	270.33	409.19	1.32	1.31	0.65	0.64	4.58	4.1	0.018	0.016	Sahr Mian		""	1.13	""	""	""	""	""	""
Alnus incana	dhAlnInca1.hap2.1	Scaffold	520084815	520042215	dhAlnInca1	2	31	99.0141	99.0359	0.964055	0.98595	593715101	595503523	280570938	281416090	313144163	314087433	84.4605	96.8715	0.104341	0.104341	RBGE	DMR166	DTOL	Angiosperm	Betulaceae	Alnus	incana	<Solanum	GPB3%PVP	255.61	383.36	4.85	4.12	1.5	270.33	409.19	1.32	1.31	0.65	0.64	4.58	4.1	0.018	0.016	Sahr Mian		""	1.13	""	""	""	""	""	""
Alopecurus geniculatus	lpAloGeni1.hap2.1	Scaffold	6259991596	6259649596	lpAloGeni1	2	31	99.577	99.6086	0.391415	0.422986	6287068534	6303693034	4012827114	4023437980	2274241421	2280255054	74.1698	94.8669	0.0749653	0.0749653	RBGE	DMR328	DTOL	Angiosperm	Poaceae	Alopecurus	geniculatus	<Allium	GPB3%PVP	191.47	450.55	5.29	4.03	2.353	201.03	468.23	14.83	14.98	7.49	7.32	4.56	3.3	0.021	0.138	Nacho	2020-06-14	""	2C = 14.9pg	""	""	""	""	""	""
Alopecurus geniculatus	lpAloGeni1.hap1.1	Chromosome	6196785535	6196446535	lpAloGeni1	2	31	99.577	99.6086	0.391415	0.422986	6287068534	6303693034	4012827114	4023437980	2274241421	2280255054	74.1698	94.8669	0.0749653	0.0749653	RBGE	DMR328	DTOL	Angiosperm	Poaceae	Alopecurus	geniculatus	<Allium	GPB3%PVP	191.47	450.55	5.29	4.03	2.353	201.03	468.23	14.83	14.98	7.49	7.32	4.56	3.3	0.021	0.138	Nacho	2020-06-14	""	2C = 14.9pg	""	""	""	""	""	""
Ammi majus	drAmmMaju1.hap1.1	Chromosome	926431048	926158448	drAmmMaju1	2	31	98.3462	98.3778	1.62216	1.65377	925058354	927542612	515956198	517341806	409102156	410200806	80.0924	95.9921	0.085245	0.085245	RBGE	DMR345	DTOL	Angiosperm	Apiaceae	Ammi	majus	<Petro	GPB3%PVP	217.14	444.80	3.23	2.41	2.048	221.62	452.34	2.2	2.2	1.1	1.08	3.06	2.19	0.006	0.007	Nacho	2020-06-22	""	""	It shows a smaller peak, maybe a fungus?	""	""	""	""	""
Ammi majus	drAmmMaju1.hap2.1	Chromosome	919409987	919148387	drAmmMaju1	2	31	98.3462	98.3778	1.62216	1.65377	925058354	927542612	515956198	517341806	409102156	410200806	80.0924	95.9921	0.085245	0.085245	RBGE	DMR345	DTOL	Angiosperm	Apiaceae	Ammi	majus	<Petro	GPB3%PVP	217.14	444.80	3.23	2.41	2.048	221.62	452.34	2.2	2.2	1.1	1.08	3.06	2.19	0.006	0.007	Nacho	2020-06-22	""	""	It shows a smaller peak, maybe a fungus?	""	""	""	""	""
Amphidium lapponicum	cbAmpLapp4.1	Chromosome	266073107	266021507	cbAmpLapp4	2	31	69.6311	100	0	30.3689	135395936	136122032	38418060	38624087	96977876	97497945	81.0383	87.0776	1.89188	1.89188	RBGE	DB1522	DTOL	Bryophyte	""	Amphidium	lapponicum	<Oryza	GPB3%PVPBmet	109.72	332.19	3.47	2.85	3.028	112.06	335.07	0.66	0.67	0.33	0.33	3.32	2.85	0.031	0.007	Robyn Powell	2020-04-29	""	-	""	""	""	""	""	""
Amphidium mougeotii	cbAmpMoug5.1	Chromosome	272102194	272021994	cbAmpMoug5	2	31	99.8571	99.8792	0.120761	0.142858	262948861	263482074	50628450	50731116	212320411	212750958	87.2273	94.0632	0.439658	0.439658	RBGE	DB1426	DTOL	Bryophyte	Orthotrichaceae	Amphidium	mougeotii	<Oryza	GPB3%PVPBmet	352.94	507.49	3.74	3.87	1.438	374.35	551.47	0.7	0.68	0.34	0.33	3.02	3.61	0.035	0.016	Sahr Mian	2020-10-02	""	-	""	""	""	""	""	""
Anagallis arvensis	ddAnaArve1.hap1.1	Chromosome	1100742143	1100680543	ddAnaArve1	2	31	99.5931	99.6302	0.369784	0.406856	1195009809	1200544410	606825038	609635504	588184771	590908906	79.0565	93.578	0.143723	0.143723	RBGK	MC9212	DTOL	Angiosperm	Primulaceae	Anagallis	arvensis	<Petro	OXPRO	209.95	344.75	3.68	2.73	1.642	220	384.21	2.74	2.6	1.3	1.27	3.13	2.73	0.009	0.262	Sahr Mian	2020-06-28	KDTOL10276	-	""	""	""	""	""	""
Anagallis arvensis	ddAnaArve1.hap2.1	Scaffold	1021350632	1021297232	ddAnaArve1	2	31	99.5931	99.6302	0.369784	0.406856	1195009809	1200544410	606825038	609635504	588184771	590908906	79.0565	93.578	0.143723	0.143723	RBGK	MC9212	DTOL	Angiosperm	Primulaceae	Anagallis	arvensis	<Petro	OXPRO	209.95	344.75	3.68	2.73	1.642	220	384.21	2.74	2.6	1.3	1.27	3.13	2.73	0.009	0.262	Sahr Mian	2020-06-28	KDTOL10276	-	""	""	""	""	""	""
Anastrepta orcadensis	cjAnaOrca4.1	Chromosome	601899852	601871852	cjAnaOrca4	2	31	99.5936	99.8186	0.181369	0.406403	613703696	617025150	246076949	247408754	367626746	369616397	76.3348	98.2747	0.431382	0.431382	RBGE	DB1527	DTOL	Bryophyte	""	Anastrepta	orcadensis	<Oryza	OXPRO	288.34	388.03	3.86	3.77	1.346	295.22	396.52	1.49	1.49	0.74	0.73	4	3.98	0.003	0.003	Sahr Mian	2020-05-11	""	-	""	""	""	""	""	""
Anastrophyllum donnianum	cjAnaDonn2.1	Chromosome	688377270	688323135	cjAnaDonn2	2	31	99.5712	99.7856	0.214361	0.42878	670277541	675562270	350604178	353368478	319673363	322193793	68.8779	97.853	0.482009	0.482009	RBGE	DB1594	DTOL	Bryophyte	Anastrophyllaceae	Anastrophyllum	donnianum	<Solanum	OXPRO	153.94	373.50	5.42	5.1	2.426	156.84	381.2	1.65	1.65	0.82	0.8	5.01	3.7	0.029	0.019	Sahr Mian	2021-07-21	""	""	""	""	""	""	""	""
Andreaea frigida	caAndFrig2.1	Chromosome	238337626	238226427	caAndFrig2	2	31	99.0848	99.1308	0.869179	0.915192	363022728	364137122	115211653	115565325	247811075	248571797	87.608	97.518	1.30272	1.30272	RBGE	DBELL1843	DTOL	Bryophyte	Andreaeaceae	Andreaea	frigida	<Oryza	GPB3%PVP	210.65	634.98	6.48	2.6	3.014	210.82	647.15	0.66	0.65	0.33	0.32	5.78	2.82	0.078	0.017	Nacho	2020-08-02	""	""	""	""	""	""	""	""
Andreaea hookeri	caAndHook4.1	Chromosome	210592715	210481915	caAndHook4	1	31					228232152	229997147	66121891	66633233	162110261	163363914	81.6873	96.002	2.01903	2.01903																																		
Andreaea hookeri	caAndHook4.2	Chromosome	210592715	210481915	caAndHook4	1	31					228232152	229997147	66121891	66633233	162110261	163363914	81.6873	96.002	2.01903	2.01903																																		
Andreaea mutabilis	caAndMuta2.1	Chromosome	202283538	202243638	caAndMuta2	2	31	99.3322	99.4651	0.534891	0.66776	372598825	375703078	134798005	135921055	237800820	239782023	77.221	97.9318	1.04847	1.04847	RBGE	DB1744	DTOL	Bryophyte	Andreaeaceae	Andreaea	mutabilis	<Oryza	GPB3%PVP	89.74	327.43	7.52	3.56	3.649	89.77	327.71	0.55	0.55	0.27	0.27	7.54	3.4	0.019	0.003	Sahr Mian		""	""	""	""	""	""	""	""
Andreaea nivalis	caAndNiva3.1	Chromosome	253467390	253304290	caAndNiva3	1	31					170192157	175811979	83571083	86330638	86621075	89481342	51.4145	74.5892	3.83891	3.83891	RBGE	NB003	DTOL	Bryophyte	Andreaeaceae	Andreaea	nivalis	<Oryza	OXPRO	97.87	294.44	4.7	2.3	3.008	102.31	301.98	0.66	0.68	0.34	0.33	5.21	2.99	0.048	0.011	Sahr Mian	2021-08-26	""	""	""	""	""	""	""	""
Andreaea nivalis	caAndNiva3.2	Chromosome	253467390	253304290	caAndNiva3	1	31					170192157	175811979	83571083	86330638	86621075	89481342	51.4145	74.5892	3.83891	3.83891	RBGE	NB003	DTOL	Bryophyte	Andreaeaceae	Andreaea	nivalis	<Oryza	OXPRO	97.87	294.44	4.7	2.3	3.008	102.31	301.98	0.66	0.68	0.34	0.33	5.21	2.99	0.048	0.011	Sahr Mian	2021-08-26	""	""	""	""	""	""	""	""
Andreaea rothii	caAndRoth3.1	Chromosome	239642140	239565696	caAndRoth3	2	31	99.5117	99.5437	0.456276	0.488314	249992291	250419374	71317111	71438948	178675180	178980426	85.411	95.9436	1.28153	1.28153	RBGE	DB1512	DTOL	Bryophyte	""	Andreaea	rothii	<Oryza	OXPRO	188.47	602.48	4.32	5.43	3.197	197.94	623.02	0.31	0.32	0.16	0.16	4.09	4.6	0.042	0.004	Robyn Powell	2020-04-14	""	-	""	""	""	""	""	""
Anoectangium aestivum	cbAnoAest3.1	Chromosome	261426670	261322870	cbAnoAest3	1	31					233797551	234489406	55295772	55459404	178501778	179030002	81.229	93.343	0.634315	0.634315	RBGE	DB1567	DTOL	Bryophyte	Pottiaceae	Anoectangium	aestivum	<Oryza	OXPRO	108.84	339.31	3.23	2.73	3.118	106.96	327.74	0.64	0.65	0.33	0.32	3.17	3.52	0.056	0.012	Sahr Mian	2020-06-17	""	-	""	""	""	""	""	""
Anomodon viticulosus	cbAnoViti19.1	Chromosome	365306794	365293194	cbAnoViti19	1	31					354303851	354771725	90114081	90233081	264189770	264538645	86.2322	95.7041	0.692853	0.692853	RBGE	DB1469	DTOL	Bryophyte	""	Anomodon	viticulosus	<Oryza	GPB3%PVPBmet	203.77	448.65	3.07	3.69	2.202	217.3	471.22	0.91	0.92	0.46	0.45	3.09	3.69	0.028	0.012	Sahr Mian	2020-11-03	""	0.8	""	""	""	""	""	""
Anomodon viticulosus	cbAnoViti19.1	Chromosome	365306794	365293194	cbAnoViti1	1	31					578179409	582715500	381938801	384935292	196240608	197780208	79.3338	94.2971	0.241069	0.241069	RBGE	DB1469	DTOL	Bryophyte	""	Anomodon	viticulosus	<Oryza	GPB3%PVPBmet	203.77	448.65	3.07	3.69	2.202	217.3	471.22	0.91	0.92	0.46	0.45	3.09	3.69	0.028	0.012	Sahr Mian	2020-11-03	""	0.8	""	""	""	""	""	""
Anthyllis vulneraria	drAntVuln1.hap1.1	Chromosome	334471635	334432218	drAntVuln1	2	31	99.4088	99.4286	0.57137	0.591245	350555261	351392024	174552598	174969249	176002663	176422775	86.2841	97.3349	0.118502	0.118502	RBGE	DMR55	DTOL	Angiosperm	Fabaceae	Anthyllis	vulneraria	<Solanum	OXPRO	169.74	395.81	5.25	4.06	2.332	174.79	403.99	0.86	0.87	0.43	0.42	5.57	3.48	0.02	0.007	Robyn Powell	2020-06-23	""	1	""	""	""	""	""	""
Anthyllis vulneraria	drAntVuln1.hap2.1	Scaffold	342591967	342550367	drAntVuln1	2	31	99.4088	99.4286	0.57137	0.591245	350555261	351392024	174552598	174969249	176002663	176422775	86.2841	97.3349	0.118502	0.118502	RBGE	DMR55	DTOL	Angiosperm	Fabaceae	Anthyllis	vulneraria	<Solanum	OXPRO	169.74	395.81	5.25	4.06	2.332	174.79	403.99	0.86	0.87	0.43	0.42	5.57	3.48	0.02	0.007	Robyn Powell	2020-06-23	""	1	""	""	""	""	""	""
Antitrichia curtipendula	cbAntCurt1.1	Chromosome	400507149	400312549	cbAntCurt1	2	31	17.0901	100	0	82.9099	180594004	181233491	55792702	55990265	124801302	125243225	82.4294	87.5924	0.707127	0.707127	RBGE	DB1576	DTOL	Bryophyte	Antitrichiaceae	Antitrichia	curtipendula	<Oryza	OXPRO	171.22	346.93	4.83	4.47	2.026	175.63	354.97	0.99	0.99	0.49	0.48	5.22	5.02	0.007	0.003	Sahr Mian	2020-06-26	""	""	""	""	""	""	""	""
